번호,낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,낚시터전화번호,수면적,주요어종,최대수용인원,수상시설물유형,이용요금,주요포인트,안전시설현황,편익시설현황,주변관광지,관리기관전화번호,관리기관명,데이터기준일자
59,실리도 어촌계 (백마)낚시터,바다,경상남도 창원시 마산합포구 구산면 이순신로 644,경상남도 창원시 마산합포구 구산면 심리 산 2번지 앞 지선 해역 일원,35.04,128.38,,490,"도다리, 돔류, 볼락류,  장어류, 기타 해면어류 등",23,수상 방갈로,"주간기준 25,000원/인당",,구멍부환+구명조끼+소화기+구급약품,화장실+분리수거통,,055-220-4475,창원시 마산합포구청,2025-05-12
60,실리도 어촌계 (반야2)낚시터,바다,경상남도 창원시 마산합포구 구산면 실리섬길 3,경상남도 창원시 마산합포구 구산면 심리 산 1번지 앞 지선 해역 일원,35.03,128.38,,516.3,"도다리, 돔류, 볼락류,  장어류, 기타 해면어류 등",20,수상 방갈로,"주간기준 25,000원/인당",,구멍부환+구명조끼+소화기+구급약품,화장실+분리수거통,,055-220-4475,창원시 마산합포구청,2025-05-12
61,실리도 어촌계 (반야1)낚시터,바다,경상남도 창원시 마산합포구 구산면 실리섬길 3,경상남도 창원시 마산합포구 구산면 심리 산 1번지 앞 지선 해역 일원,35.03,128.38,,463,"도다리, 돔류, 볼락류,  장어류, 기타 해면어류 등",16,수상 방갈로,"주간기준 25,000원/인당",,구멍부환+구명조끼+소화기+구급약품,화장실+분리수거통,,055-220-4475,창원시 마산합포구청,2025-05-12
62,실리도 어촌계 (금양)낚시터,바다,경상남도 창원시 마산합포구 구산면 이순신로 644,경상남도 창원시 마산합포구 구산면 심리 산 2번지 앞 지선 해역 일원,35.03,128.38,,490,"도다리, 돔류, 볼락류,  장어류, 기타 해면어류 등",23,수상 방갈로,"주간기준 25,000원/인당",,구멍부환+구명조끼+소화기+구급약품,화장실+분리수거통,,055-220-4475,창원시 마산합포구청,2025-05-12
63,시락어촌계낚시터(3동),바다,경상남도 창원시 마산합포구 진전면 회진로 1123-25,경상남도 창원시 마산합포구 진전면 시락리 산 155-5번지 지선 공유수면,35.04,128.26,,1500,"도다리,돔류,기타 해면어류 등",45,수상 방갈로,"주간기준 150,000원/동당",,구멍부환+구명조끼+소화기+구급약품,화장실+분리수거통,,055-220-4475,창원시 마산합포구청,2025-05-12
64,선창어촌계낚시터,바다,경상남도 거제시 일운면 지세포해안로 242,경상남도 거제시 일운면 지세포리 292,,,,2400,"참돔, 우럭, 도다리 등",50,잔교형 좌대,"12,000원",,구명부환+구명조끼+소화기+구급약품,휴게실 1동,,,거제시 해양항만과,2024-01-08
65,산천낚시터,기타,경상남도 양산시 하북면 백록로 123,경상남도 양산시 하북면 백록리 272-1,35.459104,129.085365,,8294,"붕어, 잉어",75,수상좌대,10000원/1일,,"소화기, 구명환, 방송시설 등",화장실,,,양산시농업기술센터,2024-07-29
66,용연낚시터,기타,경상남도 양산시 하북면 삼리길 62-10,경상남도 양산시 하북면 용연리 613,35.444533,129.079991,055-374-9908,10652,"붕어, 잉어",75,수상좌대,10000원/1일,,"소화기, 구명환, 방송시설 등",화장실,,,양산시농업기술센터,2024-07-29
67,화제낚시터,기타,경상남도 양산시 원동로 715-33,경상남도 양산시 원동면 화제리 3094-3,35.341618,128.969791,055-382-5498,3444,"붕어, 잉어",90,수상좌대,10000원/1일,,"소화기, 구명환, 방송시설 등",화장실,,,양산시농업기술센터,2024-07-29
68,원실내바다낚시터,기타,경상남도 양산시 용주로 65,경상남도 양산시 용당동 907-4,35.430959,129.178288,,118,"우럭, 돔",24,실내낚시터,"35,000원/2시간",,"소화기, 구명환, 방송시설 등",화장실,,,양산시농업기술센터,2024-07-29
69,유호어촌계낚시터,바다,경상남도 거제시 장목면 유호1길 73,,35.03,128.71,,0.11,"참돔, 우럭, 도다리 등",28,수상 좌대,"150,000원",,구명부환+구명조끼+소화기+구급약품,관리실 1동,,055-639-4245,경상남도 거제시청,2024-01-08
70,덕포어촌계낚시터,바다,,경상남도 거제시 덕포동 38-6,34.91,128.71,,0.1,"참돔, 우럭, 도다리 등",24,수상 방갈로,"200,000원",,구명부환+구명조끼+소화기+구급약품,화장실+분리수거통,,055-639-4245,경상남도 거제시청,2024-01-08
71,시방어촌계낚시터,바다,,경상남도 거제시 장목면 시방리 지선,34.96,128.71,,0.04,"참돔, 우럭, 도다리 등",10,수상 방갈로,"150,000원",,구명부환+구명조끼+소화기+구급약품,화장실+분리수거통,,055-639-4245,경상남도 거제시청,2024-01-08
72,장승포어촌계낚시터,바다,,경상남도 거제시 장승포동 산11-4 지선,34.86,128.73,,0.08,"참돔, 우럭, 도다리 등",20,수상 방갈로,"30,000원",,구명부환+구명조끼+소화기+구급약품,화장실+분리수거통,,055-639-4245,경상남도 거제시청,2024-01-08
73,도장포어촌체험마을낚시터,바다,,경상남도 거제시 남부면 갈곶리 산 28번지 지선,34.74,128.66,,0.22,"참돔, 우럭, 도다리 등",40,수상 좌대,"20,000원",,구명부환+구명조끼+소화기+구급약품,관리실 1동,,055-639-4245,경상남도 거제시청,2024-01-08
74,청곡어촌계낚시터,바다,,경상남도 거제시 사등면 오량리 산153 지선,34.89,128.48,,0.07,"참돔, 우럭, 도다리 등",16,수상 방갈로,"150,000원",,구명부환+구명조끼+소화기+구급약품,화장실+분리수거통,,055-639-4245,경상남도 거제시청,2024-01-08
75,능포어촌게낚시터,바다,경상남도 거제시 능포로16길 55,,34.88,128.74,,0.56,"참돔, 우럭, 도다리 등",60,잔교,"5,000원",,구명부환+구명조끼+소화기+구급약품,화장실+분리수거통,,055-639-4245,경상남도 거제시청,2024-01-08
1,바지선 선상낚시,바다,,제주특별자치도 서귀포시 토평동 516 남측 450m 지선,33.24568966,126.5775385,,487,청가시고기+넙치+자리돔 등,49,바지선,성인2시간(왕복선비 12000원 포함) 32000원,,구명부환 4개+구명조끼,화장실 1개소+세면소 1개소,,064-760-2754,제주특별자치도 서귀포시,2024-07-22
2,낚고락고,바다,제주특별자치도 제주시 조천읍 조함해안로 247-2,제주특별자치도 제주시 조천읍 신흥리 711-1,33.55126326,126.6469431,,2780,돌돔+넙치,85,가두리낚시터,20000원,,구명부환+구명조끼+소화기+ 구급약품함,화장실+분리수거통,,,제주특별자치도 제주시청,2023-12-22
3,올레바당체험마을,바다,,제주특별자치도 제주시 한림읍 수원리 724-5,33.42543711,126.2640929,,144,돌돔+넙치,16,수상시설물A동+B동,12000원,,구명부환+구명조끼+소화기+ 구급약품함,화장실+세면소,,,제주특별자치도 제주시청,2023-12-22
1,동화낚시터,기타,대구광역시 북구 동변로 24길 106(동변동),대구광역시 북구 동변동 132,35.92974,128.603563,053-955-8527,0.18,잉어+향어,20,해당없음,"10,000원",,구명부환2개+구명줄2+소화기3+구급약세트1개,화장실2+세면장1,,,동화낚시터,2024-01-05
2,무태낚시터,기타,,"대구광역시 북구 연경동 570-14, 570-35",35.935017,128.608374,053-951-1177,0.14,잉어+향어,23,해당없음,"10,000원",,구명부환2개+구명줄2+소화기3+구급약세트1개,화장실2+세면장1,,,무태낚시터,2024-01-05
3,낭만물고기실내바다낚시터,기타,대구광역시 북구 칠곡중앙대로 447(관음동),대구광역시 북구 관음동 1402-2,35.5609,128.3255,,0.02,참돔+우럭,30,해당없음,"25,000원",,구명부환2개+구명줄2+소화기2+구급약세트3개,화장실1+세면장1,,,낭만물고기실내바다낚시터,2024-01-05
4,눈큰실내낚시터,기타,대구광역시 북구 태전로 57 (태전동),대구광역시 북구 태전동 254-32,35.9254,128.54324,,40,붕어 등,20,해당없음,"10,000원",,구명중 구명튜브,화장실 흡연실 창고,,,눈큰실내낚시터,2024-01-05
5,비들지낚시터,저수지,대구광역시 군위군 군위읍 구지길 95,대구광역시 군위군 군위읍 금구리 267,36.2031,128.5722,054-383-1441,19000,"붕어, 잉어",50,없음,"25,000원",,"밭줄, 안전튜브, 구명조끼","휴게소, 화장실",,,군위군청,2024-01-01
6,대평낚시터,저수지,대구광역시 달성군 하빈면 하빈로 832,대구광역시 달성군 하빈면 대평리 934,35.93002896,128.4692446,053-581-2220,9018,붕어+잉어,60,고정형,15000,,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2191,대구광역시 달성군청,2023-07-10
7,도채낚시터,저수지,대구광역시 달성군 하빈면 묘동3길 122-60,대구광역시 달성군 하빈면 묘리 585-3,35.91802965,128.4215712,053-583-0501,13256,붕어+잉어,50,없음,15000,,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2191,대구광역시 달성군청,2023-07-10
8,가곡낚시터,저수지,,대구광역시 달성군 하빈면 무등리 274,35.92279194,128.4667287,053-582-5483,3508,붕어+잉어,50,없음,15000,,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2191,대구광역시 달성군청,2023-07-10
9,옥포낚시터,기타,,대구광역시 달성군 옥포읍 김흥리 408,35.747717,128.4924402,,1980,붕어+잉어,50,없음,15000,,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2191,대구광역시 달성군청,2023-07-10
10,문양낚시터,저수지,대구광역시 달성군 다사읍 장귀미길 123,대구광역시 달성군 다사읍 문양리 815-1,35.74332817,128.4354565,053-581-0331,20437,붕어+잉어,50,없음,15000,,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2191,대구광역시 달성군청,2023-07-10
11,약산낚시터,저수지,대구광역시 달성군 논공읍 약산덧재길 159,대구광역시 달성군 논공읍 하리 327-3,35.74332817,128.4354565,053-615-7450,16800,붕어+잉어,100,고정형,15000,,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2191,대구광역시 달성군청,2023-07-10
1,㈜정성레저,바다,인천광역시 중구 백운로186번길 140-1 (중산동),인천광역시 중구 중산동 1852,37.51420751,126.5436932,032-751-1515,28540,"돔, 점성어",250,없음,"70,000원(성인남성기준)",,구명부환+구명조끼+소화기+구급약품,화장실+매점,,032-760-8948,인천광역시 중구청,2020-09-10
2,포인트실내낚시카페낚시터,기타,"인천광역시 중구 우현로 63, 몽벨,대한애경미용학원,이용화이비인후과 (내동)","인천광역시 중구 내동 203-6 몽벨,대한애경미용학원,이용화이비인후과",37.4728317,126.6289879,032-762-3494,36.21,잉어+붕어,18,없음,"10,000(시간당/성인남성기준)",,구명부환+구명조끼+소화기+구급약품,화장실,,032-760-8948,인천광역시 중구청 농수산과,2020-09-10
3,(주)영종레저,바다,"인천광역시 중구 영종순환로 279-20, 만정낚시터 (중산동)",인천광역시 중구 중산동 1853 만정낚시터,37.5154665,126.5499277,032-747-1133,53945,돔+점성어+붕어,340,최대,"60,000원(성인남성기준)",,구명부환+구명조끼+소화기+구급약품,화장실,,032-760-8948,인천광역시 중구 농수산과,2020-09-10
4,대동실내낚시터,기타,"인천광역시 서구 심곡로 133, 대동상가 지하 1층 (심곡동)",인천광역시 서구 심곡동 285 대동아파트,,,050-7138-4893,40,붕어,20,없음,"성인 기본 1시간 11,000원",,"구명부환, 소화기","휴게실, 화장실",,032-560-4453,인천광역시 서구청,2024-07-23
5,두밀촌 낚시터,평지,인천광역시 서구 두밀로 91 (대곡동),인천광역시 서구 대곡동 260,,,,2347,붕어,136,없음,"1일 30,000원",,"구명부환, 소화기, 방송시설 등",화장실,,032-560-4453,인천광역시 서구,2024-07-23
6,인천 락 실내바다낚시터,기타,인천광역시 서구 한서로 36-10 (백석동),인천광역시 서구 백석동 212-70,,,032-563-7949,373,활바다가재,40,없음,"3시간 : 45,000원 6시간 : 80,000원 9시간 : 100,000원",,"구명부환, 구명줄, 소화기 6개","화장실, 세면대",,032-560-4453,인천광역시 서구청,2024-07-23
7,놀이터 실내낚시카페,기타,"인천광역시 서구 가정로 208, 지하 1층 (석남동)",인천광역시 서구 석남동 540-15,,,,61.8,"메기, 향어",30,없음,"남성 : 11,000원 여성 : 10,000원 어린이 : 8,000원 커플 : 20,000원",,"구명부환, 소화기","휴식공간, 화장실, 흡연실",,032-560-4453,인천광역시 서구,2024-07-23
8,가현산낚시터,평지,인천광역시 서구 가현산로23번길 87 (마전동),인천광역시 서구 마전동 3,,,032-563-4637,3300,향어,60,없음,"1일 35,000원",,"소화기, 구급약품, 구명부환 등","세면대, 화장실",,032-560-4453,인천광역시 서구,2024-07-23
9,낭만물고기,기타,"인천광역시 서구 검단로 492, 지하 1층 (마전동)",인천광역시 서구 마전동 979-4,,,050-7140-5125,30,"메기, 잉어, 향어",20,실내,"성인남성 1시간 : 11,000원 성인여성 1시간 : 9,900원",,"구명부환2, 구명동의 2, 소화기 1",화장실,,032-560-4453,인천광역시 서구청,2024-07-23
10,내동저수지낚시터,저수지,인천광역시 옹진군 영흥면 내동로 100-15,인천광역시 옹진군 영흥면 내리 496-52,,,032-884-8282,7668,"붕어, 잉어, 메기, 가물치 등",78,방가로,"24시간 30,000원",민물 저수지 낚시터,"구명환, 구명조끼, 구급약","방가로, 공동취사장, 공동수면실, 화장실, 샤워실, 매점",,032-899-2733,옹진군,2020-12-14
11,용담낚시터,기타,"인천광역시 옹진군 영흥면 영흥남로9번길 309, 용담어촌계축양장",인천광역시 옹진군 영흥면 외리 21-6 용담어촌계축양장,,,032-886-8969,27000,"돔류, 병어,  다금바리, 민어 등",200,없음,"12시간 60,000원",해수낚시터,"구명환, 소화기, 구급약품","방갈로, 화장실, 매점",,032-899-2733,옹진군,2020-12-14
12,선재낚시터,기타,"인천광역시 옹진군 영흥면 선재로265번길 103, 선재고물상",인천광역시 옹진군 영흥면 선재리 산 24-2 선재고물상,,,,19000,"돔류, 농어, 우럭, 홍민어 등",200,수상 방가로,"12시간 77,000원 2시간 45,000원 방가로 이용 40,000원",해수낚시터,"구명환, 구명줄, 구급약품","매점, 방가로, 휴게실, 주차장",,032-899-2733,옹진군,2020-12-14
13,영흥바다낚시터,기타,"인천광역시 옹진군 영흥면 영흥로176번길 21, 낚시터",인천광역시 옹진군 영흥면 내리 38-4 낚시터,,,032-882-7780,32500,"농어, 능성어, 우럭, 돔류 등",200,없음,"20시간 남성 77,000원 20시간 여성 55,000원 20시간 초등학생 55,000원",해수낚시터,"구명환, 구명줄, 소화기, 구급약","화장실, 매점, 주차장, 방가로",,032-899-2733,옹진군,2020-12-14
14,선재 낚시공원 낚시터,기타,인천광역시 옹진군 영흥면 선재로226번길 164,인천광역시 옹진군 영흥면 선재리 521-34,,,032-710-4340,19027,"돔류, 바리류, 민어, 병어, 농어",218,없음,"12시간 남성 100,000원 12시간 여성 80,000원 12시간 초중생 70,000원",해수낚시터,"구명환, 소화기, 구급약품","식당, 매점, 펜션, 카페,주차장",,032-899-2733,옹진군,2020-12-14
15,DMZ실내낚시터,기타,"인천광역시 계양구 경명대로 1056, 지층 1호 (계산동)",인천광역시 계양구 계산동 944-9,37.54328641,126.7241381,070-4118-0702,76.72,"잉어, 붕어",24,고정형,"시간당 10,000원",,"구명부환, 구명조끼, 소화기, 구급약품","화장실, 분리수거통",,,인천광역시 계양구청,2025-05-01
16,삼성낚시터,기타,인천광역시 강화군 불은면 삼성리 1123 외,,37.414703,126.262973,,6726,붕어+잉어,47,연안방갈로,70000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
17,황산초지사계절바다낚시터,기타,"인천광역시 강화군 길상면 초지리 1325-57, 1325-58-, 1325-59",,37.62125051,126.5347876,,850,우럭+광어,70,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
18,어류정낚시터,기타,인천광역시 강화군 삼산면 매음리 114-72,,37.66107251,126.336902,,135000,붕어+잉어,40,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
19,강화선두바다낚시터,기타,인천광역시 강화군 길상면 선두리 976-20,,37.60086755,126.4935967,,8810,우럭+광어,85,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
20,강화바다낚시터,기타,인천광역시 강화군 길상면 장흥리 276-5,,37.60690383,126.5168784,,2250,우럭+광어,50,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
21,길상낚시터,저수지,인천광역시 강화군 길상면 장흥리 16,,37.62515984,126.5012775,,39200,붕어+잉어,150,잔교형좌대,30000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
22,동검낚시터,저수지,인천광역시 강화군 길상면 동검리 109-1,,37.58768059,126.5222735,,25088,우럭+광어,100,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
23,양오낚시터,저수지,인천광역시 강화군 송해면 양오리 10-2,,37.80023879,126.4474212,,241771,붕어+잉어,200,"잔교형좌대,연안방갈로",20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
24,고구낚시터,저수지,인천광역시 강화군 교동면 고구리 243 외,,37.79635,126.292765,,838000,붕어+잉어,50,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
25,항포낚시터,저수지,인천광역시 강화군 삼산면 석모리 1148,,37.70636707,126.2840291,,528000,붕어+잉어,50,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
26,신선지낚시터,저수지,인천광역시 강화군 내가면 고천리 1852-1,,37.72045498,126.4152577,,38000,붕어+잉어,80,잔교형좌대,30000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
27,길정낚시터,저수지,인천광역시 강화군 양도면 길정리 403-1,,37.66259233,126.467195,,497000,붕어+잉어,58,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
28,오류내낚시터,저수지,인천광역시 강화군 송해면 하도리 621,,37.75926215,126.4520722,,117700,붕어+잉어,50,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
29,국화낚시터,저수지,인천광역시 강화군 강화읍 국화리 450,,37.74460253,126.4619292,,238400,붕어+잉어,50,연안방갈로,75000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
30,내가낚시터,저수지,인천광역시 강화군 내가면 고천리 462,,37.72518794,126.3936217,,30000,붕어+잉어,50,연안방갈로,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
31,황청낚시터,저수지,인천광역시 강화군 내가면 황청리 531,,37.71508509,126.3638447,,68000,붕어+잉어,200,잔교형좌대,30000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
32,인산낚시터,저수지,인천광역시 강화군 양도면 인산리 105,,37.69854279,126.4312672,,139000,붕어+잉어,150,잔교형좌대연안방갈로,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2025-04-11
33,파도바다 실내낚시터,기타,"인천광역시 남동구 남동대로 897번길 5, 제지층(간석동)",인천광역시 남동구 간석동 283-1 제지층,37.4623753,126.7077663,,60,우럭+방어+도다리+참돔,20,고정형,"1시간 25,000 + 3시간 40,000",,구명부환+소화기+구급약품,화장실+세면대+주차장+무선인터넷+흡연실,,032-453-6083,인천광역시 남동구청,2024-07-10
34,놀러와 실내낚시터,기타,"인천광역시 남동구 백범로 203, 지층 102호(만수동)",인천광역시 남동구 만수동 897-2,37.45945344,126.7261954,,63,잉어+향어,20,고정형,"성인: 12,000 + 청소년: 10,000 + 초등 :6,000",,구명부환+소화기+구급약품,화장실+세면대+주차장+무선인터넷+흡연실,,032-453-6083,인천광역시 남동구청,2024-07-10
35,어썸 실내낚시카페,기타,"인천광역시 남동구 백범로 417, 지하1층(간석동)",인천광역시 남동구 간석동 238-9,37.4672684,126.7025735,,58,잉어+붕어+향어,28,고정형,"성인: 11,000 + 청소년: 9,000 + 초등: 6,000",,구명부환+소화기+구급약품,화장실+세면대+주차장+무선인터넷+흡연실,,032-453-6083,인천광역시 남동구청,2024-07-10
36,나까보까 실내낚시터,기타,"인천광역시 남동구 구월로 291, 지하1층(만수동)",인천광역시 남동구 만수동 906-19,37.4558425,126.7207845,,114,잉어+향어+비단금붕어,18,고정형,"성인: 12,000 + 청소년: 10,000 + 초등: 8,000",,구명부환+소화기+구급약품,화장실+세면대+무선인터넷+흡연실,,032-453-6083,인천광역시 남동구청,2024-07-10
37,얼빵 낚시카페,기타,"인천광역시 남동구 인주대로 580, 지하 2층(구월동)",인천광역시 남동구 구월동 1126,37.4497578,126.6991131,,32,잉어+향어,17,고정형,"성인: 10,000 + 초등: 8,000",,구명부환+소화기+구급약품,화장실+세면대+무선인터넷+흡연실,,032-453-6083,인천광역시 남동구청,2024-07-10
38,또와또 실내낚시터,기타,인천광역시 남동구 남동대로 881 지하층(간석동),인천광역시 남동구 간석동 284-2,37.4656135,126.707077,,35,잉어+향어,25,고정형,"성인: 10,000 + 청소년: 8,000 + 초등미만: 5,000",,구명부환+소화기+구급약품,화장실+세면대+무선인터넷+흡연실,,032-453-6083,인천광역시 남동구청,2024-07-10
39,남촌낚시터,기타,인천광역시 남동구 남촌로 67번길 60-3(남촌동),인천광역시 남동구 남촌동 582,37.4266899,126.7128884,,1771,붕어+잉어+향어,40,고정형,"20,000",,구명부환+소화기+구급약품,화장실+세면대+주차장,,032-453-6083,인천광역시 남동구청,2024-07-10
40,소래바다낚시터,기타,인천광역시 남동구 소래로 154번길 25-40(논현동),인천광역시 남동구 논현동 33-14,37.40682335,126.7405419,,1857,우럭+감성돔+돗돔+능성어,40,고정형,"40,000",,구명부환+소화기+구급약품,화장실+세면대+주차장+ATM,,032-453-6083,인천광역시 남동구청,2024-07-10
41,영종뚜루실내바다낚시터,기타,"인천광역시 중구 영종진광장로 45, 3층 (중산동)",인천광역시 중구 중산동 1938-8,,,,800,-,30,없음,"33,000원/2시간",,구명부환+구명조끼+소화기+구급약품,카페,,,인천 중구,2024-07-22
42,J&D 실내바다낚시터,기타,"인천광역시 중구 서해대로417번길 2, 재향군인회관 지1층 (신흥동2가)",인천광역시 중구 신흥동2가 54-7 재향군인회관,,,070-7543-3213,899,-,30,없음,"40,000원/3시간",,구명부환+구명조끼+소화기+구급약품,카페,,,인천 중구,2024-07-22
43,천혜바다낚시터,저수지,인천광역시 중구 중산로 124 (중산동),인천광역시 중구 중산동 1125-13,,,032-747-3300,22500,-,220,수상좌대,"80,000원/일",,구명부환+구명조끼+소화기+구급약품,카페,,,인천 중구,2024-07-22
44,주주실내낚시클럽,기타,"인천광역시 미추홀구 주안로 113, 덕진빌딩 지하2층 (주안동)",인천광역시 미추홀구 주안동 130-5 덕진빌딩,37.46425733,126.6822339,032-437-1837,77.25,잉어+붕어,30,없음,(1시간)10000,,구명부환+구명줄+소화기,화장실,,,인천광역시 미추홀구청,2024-07-29
45,도시어부낚시카페,기타,"인천광역시 미추홀구 주안로104번길 24, 지하2층제2호(주안동)",인천광역시 미추홀구 주안동 143-1,37.46282174,126.6809926,032-442-8678,80,잉어+붕어,80,없음,(1시간)10000,,구명부환+구명줄+소화기,화장실,,,인천광역시 미추홀구청,2024-07-29
46,뚜루실내바다낚시터,기타,"인천광역시 서구 세자봉로 97-12, 공장 (금곡동)",인천광역시 서구 금곡동 90-8 공장,,,050-7135-8422,128,"민어, 참돔, 점농어 등",20,해당없음,"2시간 : 33,000원 4시간 : 44,000원 7시간 : 66,000원",,"구명환, 소화기, 방송시설",화장실,,032-560-4453,인천광역시서구,2024-07-23
1,피싱카페낚시터,기타,"광주광역시 동구 서석로85번길 8-13, 지하1층(대의동)",광주광역시 동구 대의동 2,35.15032933,126.9205759,,16.62,붕어,10,고정형,"10,000원",,"소화기, 구급약품, 배수설비, 전기설비",화장실,,062-608-2724,광주광역시 동구청,2020-07-10
2,붕어의 신 실내낚시터,기타,광주광역시 동구 중앙로 157(호남동),광주광역시 동구 호남동 35-3,35.14828344,126.9129881,,60.2,붕어,28,고정형,"10,000원",,"소화기, 구급약품, 배수설비, 전기설비",화장실+휴게시설,,062-608-2724,광주광역시 동구청,2020-07-10
3,신가리낚시터,기타,광주광역시 광산구 풍영철길로 190-23 (신가동),광주광역시 광산구 신가동 200-181,35.17240056,126.8285034,062-956-7752,1350,잉어류,120,해당없음,"어른 15,000원(5기간 기준) 어린이 8,000원(1기간 기준)",,방송시설 등,화장실  등 위생설비,,,광주광역시 광산구청,2023-03-07
4,상무낚시터,기타,광주광역시 서구 유덕로141번길 31-1,광주광역시 서구 덕흥동 26-1,35.16357724,126.8386542,062-373-0558,380,붕어+잉어,20,고정형,"1일 10,000원",,구명부환+소화기+구급약품+방송설비,화장실+쓰레기통,,062-360-7373,광주광역시 서구청,2023-06-20
1,물만난고기,기타,"대전 중구 대종로 488번길 39, 지하(은행동)",,36.329039,127.42833,,61,붕어 등,33,해당없음,"10,000원",,구명부환+소화기+구급약품,화장실+휴지통,,,대전광역시 중구청,2022-06-17
2,Love낚시카페,기타,"대전광역시 서구 관저로 160, 지하1층",,36.29872121,127.3395894,042-544-4222,54,"붕어, 잉어",30,없음,"10,000원",,구명부환+구명조끼+소방설비,화장실+세면소+쓰레기통,없음,042-288-2470,대전광역시 서구청,2023-04-13
3,우명실내낚시터,기타,대전광역시 서구 우명길 148(우명동),,36.2287571,127.2935111,042-841-9545,1486,"붕어, 잉어",50,없음,"15,000원",,구명부환+구명조끼+소방설비,화장실+세면소+쓰레기통,없음,042-288-2470,대전광역시 서구청,2023-04-13
4,물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",대전광역시 중구 은행동 45-2,36.329039,127.42833,042-252-2225,61,붕어 등,33,해당없음,"10,000원",,구명부환+소화기+구급약품,화장실+휴지통,,042-606-7264,대전광역시 중구청,2024-06-30
5,물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",대전광역시 중구 은행동 45-2,36.329039,127.42833,042-252-2225,61,붕어 등,33,해당없음,"10,000원",,구명부환+소화기+구급약품,화장실+휴지통,,042-606-7264,대전광역시 중구청,2023-08-24
6,물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",대전광역시 중구 은행동 45-2,36.329039,127.42833,042-252-2225,61,붕어 등,33,해당없음,"10,000원",,구명부환+소화기+구급약품,화장실+휴지통,,042-606-7264,대전광역시 중구청,2024-01-01
1,송정유료낚시터,바다,울산광역시 서생면 해맞이로 1331,울산광역시 울주군 서생면 대송리 339-8,35.3669,129.35324,052-239-5900,10000,"우럭, 노래미, 농어 등",80,수상좌대,"가두리낚시 : 66,000원 생활 낚시 : 33,000원 체험낚시 : 10,000원 *초등학생 50%할인",,구명부환+구명조끼+소화기+구급약품+계류설비,화장실+분리수거통,,,울산광역시 울주군청,2022-11-17
2,원실내낚시터,기타,울산광역시 울주군 온산읍 신온8길 20-6,울산광역시 울주군 온산읍 덕신리 433-7,35.4292604,129.3109347,052-239-2211,57,잉어+붕어,16,낚시카페,"25,000원(1시간), 30,000(2시간), 35,000원(3시간), 60,000원(6시간)",,구명부환+구급약품+소화기,화장실+분리수거통,,,울산광역시 울주군청,2022-11-17
3,당사해양낚시공원,바다,울산광역시 북구 용바위1길 58 (당사동),울산광역시 북구 당사동 508,35.581079,129.455723,052-282-1116,720,"볼락, 우럭, 쏨뱅이, 전갱이 등",500,잔교식 좌대,"1. 낚   시 : (성인)10,000원, (청소년) 5,000원 2. 입장료 : (성인) 1,000원, (청소년) 500원",,"안전사다리, 소화기, 구명조끼, 구명줄, 구명부환","화장실,관리사무실, 쓰레기통","강동누리길, 강동사랑길, 우가어촌체험마을, 강동오토캠핑장 등",052-282-1116,울산수협 당사어촌계,2024-07-30
